duration_s,orig_bytes,resp_bytes,proto,label,source_file
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.03183913230895996,0,120,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.03138589859008789,0,120,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
0.001,0,60,TCP,malicious,ddos_captures/pkt.TCP.synflood.spoofed.pcap
